,label,sentence
86,0,Cby1 [EXPE]  MEFs exhibited a delay in [GENE] relative to wild type (  Figure 2  A and B  ) 
87,0,"furthermore , the reduced migration-shift band of phosphorylated haspin in g2 phase after aurora-a [EXPE] reveals that aurora-a phosphorylates [GENE]  in_vivo  (  figure 5d  )"
88,1,"In >50% of cells [EXPE] of [GENE] , astral MTs appeared absent or dramatically shortened in both prometaphase and metaphase cells (  Fig. 1 , A and B  ) , and MT density within the inner spindle was significantly reduced (  Fig. 1 C  )."
89,0,"mutation of the rvsf motif to aaaa was previously shown to [EXPE] binding of [GENE] to knl1 (  liu et al. , 2010  )"
90,0,We thus analyzed the phenotype related to [GENE] depletion by transmission electron microscopy ( [EXPE] ) 
91,1,48 hours after transfection cell populations were fixed and [EXPE] for Cep135  Cp110  or [GENE] 
92,1,"however , the [EXPE] of some [GENE] subunits (  roc1a  ,  cul-1  , and  rca1  ) induced interphase arrest , as scf regulates cell cycle progression (  vodermaier , 2004  ) , preventing assessment of their roles"
93,0,Notably  Nup62 and [GENE] levels were reduced compared with mock-treated ( control [EXPE] ) cells ( Fig  5 b ) 
94,0,Overexpression of  KIN4  is lethal as it causes constitutive [EXPE] of the MEN GTPase Tem1 by the Bfa1–Bub2 [GENE] complex 9  
95,0,"to investigate the effects of  [GENE]  knockdown on pc:egfp kinetics , it was necessary to use transient [EXPE] expression to enable nb survival"
96,0,"as shown in figure  2g  , co-ip revealed that pc-1 [EXPE] enhances chip and [GENE] interactions , thus further substantiating the gst-pulldown assay results , with gst-chip able to pull-down more ar protein when incubated with hek293 cell lysates cotransfected with pc-1 ( figure  2h  )"
97,0,"two independent [EXPE] targeting kifc1 were used to examine the role of [GENE] in the development and progression of hcc , with that the mrna and protein expression of kifc1 shown to be significantly silenced by rt-qpcr and western blot analyses at 48 h post-sirna transfection (  fig. 2b and c  )"
98,0,"in agreement with protein expression data and the cellular phenotypes reported , we observed higher expression of c-kit and [GENE] mrna in cohesin [EXPE] cells compared with renilla control cells"
99,1,Reducing  [GENE]  levels by low level [EXPE] resulted in viable adults of reduced weight and size (  Fig 2C  )   
100,1,"of interest ,  cdh1∆  cells did not retain [GENE] at the spbs after cdc14 [EXPE] (  figure 4c  )"
101,0,The C-terminal fragment ( JAF157 ) did not affect the localization of native [GENE] or bring down IFT20 in an [EXPE] 
102,0,It also seems that localization of [GENE] was notably dispersed in  ninein  [EXPE] APs (  Fig 6B  ) 
103,0,"mutation of the rvsf motif to aaaa was previously shown to [EXPE] binding of pp1 to [GENE] (  liu et al. , 2010  )"
104,0,our results from h4-app cells using the pharmacological [EXPE] suggested that g1/s checkpoint inhibition prevents [GENE] phosphorylation at thr668
105,0,Fluoxetine is an anti-depressant thought to [GENE] as a serotonin-specific reuptake [EXPE]  [18]  
106,0,"in this experiment , hek 293t cells were [EXPE] with flag-ha-cyclin f , and either p27wt , [GENE] , p27ck or empty vector"
107,1,We have validated our [EXPE] data with three independent siRNAs targeting [GENE] (  Fig 3B  ) 
108,0,The difference in βIII-tubulin staining between  [GENE]  +/+ and  c-fos [EXPE]  embryos was evident at E165 ( Figure  5C  ) 
109,0,"we first analyzed the effect of hdac6 [EXPE] on the expression of several key ciliary regulators , including centrosomal protein 110 ( cp110 ) , intraflagellar transport protein 88 ( ift88 ) , ift140 , meckel syndrome 1 ( mks1 ) , ninein , and centrosomal protein 164 ( [GENE] ) 27 28 29 30 31"
110,0,"we also monitored the chromosome alignment and anaphase onset with [EXPE] microscopy and found that [GENE] knockdown caused a significant delay in chromatid segregation (  fig. 2 , g and h ; and  videos 1  and  2  )"
111,0,In contrast  [GENE] complex disassembly was only subtly affected by B55-α [EXPE] (  Fig 4 B  ) 
112,1,21  To identify target genes regulated by XAB2  gene expression of [GENE] depleted HeLa cells was analysed by [EXPE] 
113,1,"to induce [EXPE] of [GENE] , mda-mb-231 cells expressing h2b-mcherry were stably transduced using an inducible lentiviral vector containing a bicistronic internal ribosome entry site ( ires ) vector with green fluorescent protein ( gfp ) and short hairpin rna ( shrna ) against mastl ( shmastl ) or a scramble control ( shcontrol )"
114,1,Our [EXPE] also identified two components (  [GENE]  and  Tor  ) in the Tor ( target of rapamycin ) signalling pathway 
115,1,Cells were [EXPE] with DDX3 ( red )  [GENE] ( blue )  γ-tubulin ( green ) and DNA ( gray ) 
116,0,"similarly , although most wild type cgnps each contained two centrioles , as determined by γ ˜tubulin- and cep120-positive [EXPE] , most [GENE] mutant cells lacked both γ ˜tubulin and cep120 staining"
117,0,"the stage-dependent changes in the distribution of nup153 , npcs , the nuclear lamina , isolated intranuclearlaminar vesicles and nuclear envelope invaginations were studied with 3d-sim of zygote- to blastocyst-stageembryos [EXPE] for chromatin ( dapi ) and immunostained for [GENE] and lamin b. we scanned and analyzed 112pronuclei/nuclei in 28 embryos"
118,0,"as shown in figure  2g  , co-ip revealed that pc-1 overexpression enhances [GENE] and ar interactions , thus further substantiating the gst-pulldown [EXPE] results , with gst-chip able to pull-down more ar protein when incubated with hek293 cell lysates cotransfected with pc-1 ( figure  2h  )"
119,0,"to induce knockdown of [GENE] , mda-mb-231 cells expressing h2b-mcherry were stably transduced using an inducible lentiviral vector containing a bicistronic internal ribosome entry site ( ires ) vector with green fluorescent protein ( gfp ) and short hairpin rna ( [EXPE] ) against mastl ( shmastl ) or a scramble control ( shcontrol )"
120,0,"as shown in figure  2g  , co-ip revealed that pc-1 overexpression enhances [GENE] and ar interactions , thus further substantiating the gst-pulldown assay results , with gst-chip able to pull-down more ar protein when incubated with hek293 cell lysates [EXPE] with pc-1 ( figure  2h  )"
121,0,or clarification  we performed an  in vitro  kinase [EXPE] with recombinant GST-Mps1  but without [GENE] 
122,1,"However , [EXPE] of a [GENE] siRNA , the efficacy of which was verified by Western blotting in Fig.  1b  , efficiently reverses the senescent phenotype , and as can be seen from the EdU incorporation assay in Fig.  1c and d  these cells re-enter the cell cycle and activate DNA replication."
123,0,"if [GENE] deacetylation by hos1 at k112 and k113 is important for removal of cohesins in early anaphase , we can make the following two predictions: first , acetyl-smc3 would be bound to anaphase chromosomes longer in hos1-depleted cells; second , non-acetyl  smc3  mutants–e.g. , replacement of lysines with arginines at these sites ( k112r k113r )–would [EXPE] timely chromosome segregation in hos1-depleted cells"
124,0,"two independent sirnas targeting kifc1 were used to examine the role of kifc1 in the development and progression of [GENE] , with that the mrna and protein expression of kifc1 shown to be significantly silenced by [EXPE] and western blot analyses at 48 h post-sirna transfection (  fig. 2b and c  )"
125,1,"confocal [EXPE] analysis in mcf7 cells confirmed that nek2 co-localizes in the nuclear speckles with srsf1 and [GENE] (  figure 1 c ) , two serine/arginine-rich ( sr ) proteins commonly used as markers of these structures (  24  )"
126,0,To test whether TopBP1 is required for recruitment of [GENE]  we analyzed SLX4 localization after TopBP1 [EXPE] 
127,1,In addition  [GENE] was found in our [EXPE] as a MISP-interacting protein ( Supplementary Fig  1a  ) 
128,0,To demonstrate specificity of the [GENE] morpholino  we tested whether human PCM1 could [EXPE] the zebrafish embryo morphants 
129,0,Chromatid breaks were prominent in [GENE] −/−  and Mcph1 [EXPE] p53 −/−  MEFs (  Table S2  ) 
130,0,Previous reports have shown that [EXPE] of TRF2 affects the telomeric binding of [GENE] 
131,1,We next tested the relationship between [GENE] and Ncd by double [EXPE] and reciprocal rescue experiments 
132,0,Therefore  we specifically analyzed the recruitment of BLM and [GENE] to telomeres following RAD54 [EXPE] by IF‐FISH 
133,0,In addition  phospho-JNK [EXPE] was also detected in the [GENE] ( data not shown ) 
134,0,Given the effect of DLC2 and Cdc42 on [GENE] localization  we asked whether the [EXPE] of the kinesin also affected mitosis 
135,0,Upon biorientation [GENE] is no longer recruited  causing its [EXPE] from kinetochores in metaphase cells 
136,1,"Indeed , [GENE] [EXPE] in mitotic cells induces dephosphorylation of Cdc25C that is detectable by a significant increase in Cdc25C mobility on SDS/PAGE [ 13 ]."
137,0,As expected  expression of [EXPE] Ska1 rescued the arrest caused by [GENE] depletion (  Figure 6A  ) 
138,1,After synchronization  cells were fixed and [EXPE] with cyclin B1 and Y15P [GENE] ( Cdk1-P ) antibodies 
139,0,The CE defects were further confirmed by in situ [EXPE] analysis when both WT and MZ [GENE]  embryos reached 100% epiboly 
140,0,"in order to reduce the incidence of cell line-dependent variables , we compared both parental  oa1 +/+  and  oa1 +/−  versus  oa1 [EXPE]  lines , and transduced  oa1 −/− loa1sn versus  [GENE] −/− loa1δ18sn lines"
141,0,"quantitative rt-pcr in transiently tp53 or tp63 [EXPE] hfks confirms that down-regulation of rad51b , msh2 and xrcc4 occur in a tp53-dependent manner in both transiently and stably [GENE] depleted cells ( figure  5g  and figure s13c–e )"
142,0,"as shown in figure  2g  , co-ip revealed that pc-1 overexpression enhances chip and [GENE] interactions , thus further substantiating the gst-pulldown assay results , with gst-chip able to [EXPE] more ar protein when incubated with hek293 cell lysates cotransfected with pc-1 ( figure  2h  )"
143,0,We also found that [GENE] required centrosomal localization to [EXPE] centrosome over-duplication 
144,0,[EXPE] of Cpr2 restored the [GENE] efficiency of the  ste3 αΔ/ a  mutant to ~ 67–68% 
145,1,Our [EXPE] analysis detected a physical interaction between [GENE] and MCRS1 (  Fig 1C  ) 
146,1,We then repeated this experiment  staining for [GENE] after 24 h of [EXPE] imaging 
147,1,The [EXPE] experiment showed that HIRA and [GENE] can be immunoprecipitated together (  Fig 9  H and I  ) 
148,0,"if this was due to impaired [GENE] activation , overexpressing a constitutively active plk1 should [EXPE] this reduction"
149,1,To determine whether NE-associated AKAP149 was also associated with [GENE]  we carried out [EXPE] from NE extracts 
150,0,Tumours were ranked initially according to their expression of [GENE] as determined by comparative multiplex [EXPE] 
151,0,Next  we directly tested whether [GENE] is required for Plk4 localization in cells [EXPE] of Cep152 
152,0,Both CAP350 and [GENE] were present in anti-FSD1 [EXPE]  and vice versa ( Fig  7d  ) 
153,0,"as shown in figure  2g  , co-ip revealed that pc-1 overexpression enhances chip and ar interactions , thus further substantiating the gst-pulldown [EXPE] results , with gst-chip able to pull-down more [GENE] protein when incubated with hek293 cell lysates cotransfected with pc-1 ( figure  2h  )"
154,0,In line with the previous results  hALFY [EXPE] did not significantly alter levels of [GENE] or DVL2 
155,0,"notably , expression of the apc4 kr  mutant was not fully effective in [EXPE] the apc4 knockdown defects , in comparison to full rescue by [GENE] (  figure 2a and c–e  )"
156,1,"in order to reduce the incidence of cell line-dependent variables , we compared both parental  oa1 +/+  and  oa1 +/−  versus  [GENE] [EXPE]  lines , and transduced  oa1 −/− loa1sn versus  oa1 −/− loa1δ18sn lines"
157,0,"as shown in figure  2g  , co-ip revealed that pc-1 overexpression enhances chip and ar interactions , thus further substantiating the gst-pulldown assay results , with gst-chip able to pull-down more [GENE] protein when incubated with hek293 cell lysates [EXPE] with pc-1 ( figure  2h  )"
158,1,To explore the possibility that STIL is directly phosphorylated by [GENE]  we performed  in vitro  kinase [EXPE] 
159,1,[EXPE] experiments showed that depletion of COPS2 attenuates the binding between OCT4 and [GENE] (  Figures 4 A and  S1 A ) 
160,0,As an alternative means of inhibiting [GENE] catalytic activity  we [EXPE] Akt isoform expression using siRNA 
161,0,"We [GENE] that the CHK1 [EXPE] SB218078 leads to a reduction in H3.3S31ph in ALT cell lines including SKLU1 , U2OS , Saos-2 and KMST6 , but not in non-ALT , telomerase-positive A549 cells ( Figure  4  and Supplementary Figure S7 )."
162,1,we found [GENE] cytoplasmic [EXPE] to be significantly associated with clinical progression to castration-resistant disease ( p<0.0001 ) (  figures 3a–d  and  table s4  )
163,0,Two clones  MC2 and [GENE]  testedpositive by ELISA using [EXPE] recombinant U2AF 65  asantigen 
164,0,"we first analyzed the effect of hdac6 [EXPE] on the expression of several key ciliary regulators , including centrosomal protein 110 ( cp110 ) , intraflagellar transport protein 88 ( ift88 ) , ift140 , meckel syndrome 1 ( mks1 ) , ninein , and [GENE] ( cep164 ) 27 28 29 30 31"
165,1,Therefore we investigated [GENE] localization in colonic crypts by immunofluorescence labeling and [EXPE] microscopy   
166,0,We next tested if CT288 and [GENE] could interact during  C trachomatis  [EXPE] of HeLa cells 
167,0,We think that the capacity to duplicate is probably related to the level of [EXPE] and the amount of [GENE] protein available 
168,0,We then performed neutral-pH Comet [EXPE] to further assess DSB repair in [GENE] −/−  p53 −/−  MEFs 
169,0,This [EXPE] then wraps around [GENE] and completes the binding event.
170,0,"treatment of degron-orc6–depleted cells with caffeine , an inhibitor of g2 checkpoint kinases known to bypass [GENE] arrest , decreased the percentage of 4n cells from 66 to 42% after 24 h; it correspondingly reduced supernumerary centrosomes and multipolar spindle formation between 16 and 20 h after degron-orc6 [EXPE] (  fig. 2 e  )"
171,0,"thus , klp10a [EXPE] rescues the spindle collapse caused by [GENE] inhibition"
172,0,Interestingly  [GENE] levels increased upon treatment with the proteasome [EXPE] MG132 in G0 phase arrested-RPE1 cells 
173,1,After extensive washing  the binding of [GENE] or c-Src was examined by [EXPE] 
174,0,"[EXPE] of cenp-w impairs [GENE] loading (  fig. 4c and 4f  ) , but this is due to co-depletion of cenp-c ( lane 5 in  fig. 4c  )"
175,0,"we first analyzed the effect of hdac6 [EXPE] on the expression of several key ciliary regulators , including centrosomal protein 110 ( [GENE] ) , intraflagellar transport protein 88 ( ift88 ) , ift140 , meckel syndrome 1 ( mks1 ) , ninein , and centrosomal protein 164 ( cep164 ) 27 28 29 30 31"
176,1,To validate the synchronised mitotic exit in our model  the APC cdc20  substrates [GENE] and cyclin B1 were analysed by [EXPE] 
177,0,"we then determined the localization of cp110 and [GENE] , two proteins whose [EXPE] we found to increase the percentage of z-l 3 vs–treated cells that contained long daughter centrioles"
178,0,"furthermore , inhibition of cdk1/2 activation during the cell cycle by use of roscovitine , a specific pan cdk [EXPE] , did not alter cdh1 phosphorylation at thr32 and ser 36 (  figure 7  ) , suggesting that [GENE] is a  bona fide  kinase for cdh1 during the cell cycle that acts independently of cdks"
179,1,The next question then is whether  [GENE]  loss-induced ciliary defects could be [EXPE] by deletion of  Hdac6 in vitro  
180,0,As expected  nonspecific [EXPE] silenced cells still maintained high surface [GENE] expression (  Fig 4e  ) 
181,1,"by [EXPE] embryos for [GENE] (  kirkham et al. , 2003 ;  leidel and gönczy , 2003  ) and sas-5 (  delattre et al. , 2004  ) , we quantified the levels of centrosome-associated sas-5 and sas-4 at first anaphase (  fig. 2 a ,b )"
182,0,"imaging by total internal reflection fluorescence ( tirf ) [EXPE] of lifeact-mcherry revealed a reduction in the area of cell-surface contact upon [GENE] inhibition , reflecting the above described rounding up of cells (  figure 3f  )"
183,0,"we first analyzed the effect of hdac6 [EXPE] on the expression of several key ciliary regulators , including centrosomal protein 110 ( cp110 ) , intraflagellar transport protein 88 ( [GENE] ) , ift140 , meckel syndrome 1 ( mks1 ) , ninein , and centrosomal protein 164 ( cep164 ) 27 28 29 30 31"
184,0,[GENE] KD cells and cells expressing control [EXPE] were stimulated with 20 ng/ml PDGF for 10 min or left unstimulated 
185,0,Protein [EXPE] were then blotted with antibodies against [GENE] protein 
186,0,We then tested if increased PP5 levels cause [EXPE] of the genes encoding perforin  [GENE]  KIR and CD70 in CD4 +  T cells 
187,0,[GENE] translocation to the chromosome arms after Bub1 [EXPE] induces persistent cohesion along mitotic chromosomes 15  
188,1,Downstream of IL-6  we analyzed [GENE] mRNA levels by [EXPE] 
189,0,Conversely  [EXPE] of AZI1 significantly reduced ciliary localization of [GENE] and BBS9 (  Fig 5E  and  Fig S6  ) 
