Symbol,Score
CSTF2,0.327
SET,0.272
GCLC,0.100
WDR36,0.447
DDOST,0.122
WDR76,0.147
NAA15,0.123
AURKC,0.337
NELFA,0.101
DDX46,0.332
MTRES1,0.100
CHD4,0.125
NIN,0.478
SKP2,0.856
RBM8A,0.424
POMP,0.175
C1orf112,0.109
POLR2B,0.122
SSRP1,0.876
SMN2,0.172
SNIP1,0.469
RUVBL2,0.756
HSP90AA1,0.376
PSPC1,0.100
HAUS3,0.483
TSN,0.169
C1QBP,0.285
IWS1,0.144
RTTN,0.145
SMARCB1,0.106
ACTR1A,0.269
ROCK1,0.156
TCEA1,0.178
DOCK11,0.107
TBP,0.152
ASTE1,0.101
RALGAPB,0.163
U2AF1,0.412
SEPTIN2,0.114
RAD9A,0.200
RFC1,0.627
RBMX2,0.198
FXN,0.195
CCND3,0.753
TIMM9,0.119
TENT4A,0.114
SCRN3,0.106
CENPV,0.153
CENPS,0.187
SEPTIN7,0.140
NSUN2,0.720
HNRNPF,0.273
UTP15,0.438
ACTR2,0.156
HMBS,0.147
CMPK1,0.180
SART3,0.119
MSH2,0.122
DARS2,0.154
NUP98,0.115
CEP78,0.397
RNASEH2A,0.542
NOP56,0.460
BIRC6,0.127
SPAST,0.170
CTNNB1,0.319
MED27,0.178
NOP9,0.100
CCHCR1,0.109
GSK3B,0.200
RPS7,0.593
CCNH,0.192
HNRNPR,0.313
MZT2B,0.114
ALG6,0.151
RRM2,0.463
MRM2,0.119
CDC25C,0.138
UBE2T,0.254
CDIN1,0.118
PDCD11,0.165
HNRNPL,0.134
WRN,0.143
RAD50,0.157
H2AZ1,0.855
YY1,0.104
G2E3,0.161
RPL29,0.131
PARN,0.320
GPSM2,0.441
TBCB,0.150
TOPBP1,0.528
SMARCE1,0.101
CASK,0.117
HERC2,0.278
OPA1,0.113
SNU13,0.331
MCM4,0.779
PDCD6IP,0.145
TACC3,0.496
RAD23A,0.399
CTPS1,0.233
SP3,0.124
TBK1,0.537
TBCA,0.180
NKAP,0.100
CTCF,0.286
CDC42,0.343
DEK,0.308
NEDD4,0.112
CDC16,0.887
KIF23,0.808
PIN4,0.430
DDX10,0.197
GEMIN2,0.130
PMS2,0.173
CPSF6,0.265
KIF18B,0.504
MTHFD1,0.152
BLM,0.823
DNAJC21,0.125
WDR62,0.703
CDC45,0.816
RBM34,0.239
SLMAP,0.359
MRPL28,0.115
PRIMPOL,0.106
PKMYT1,0.441
LBR,0.158
FECH,0.105
MRPS16,0.182
THOC7,0.126
EXOSC2,0.382
SAC3D1,0.538
PUS10,0.201
NEMP2,0.286
COX10,0.167
DHX16,0.114
PRIM1,0.730
MIER3,0.214
SAE1,0.180
AIMP1,0.165
CSNK1A1,0.261
RPL23A,0.198
AK2,0.105
FAM83H,0.227
AIMP2,0.109
PBDC1,0.111
PPP5C,0.103
SDF4,0.495
PPAN,0.236
PGP,0.114
EIPR1,0.105
ISY1,0.181
MCM3,0.907
SNRPE,0.194
EED,0.580
AURKA,0.920
CHD3,0.716
BRCA2,0.413
BUB1,0.842
CDK12,0.158
NAP1L4,0.110
PFDN6,0.185
MRPL23,0.131
DYNC2I2,0.283
MEN1,0.129
CEP350,0.983
ATR,0.285
H3-3A,0.119
E2F8,0.272
CNIH1,0.199
ZWINT,0.315
CCT3,0.605
DDX11,0.888
SPRTN,0.144
MAD2L2,0.251
PWP1,0.262
ETF1,0.350
SEPTIN6,0.130
PES1,0.386
RAB11A,0.666
SUGP1,0.117
RAP1B,0.111
ELP3,0.173
MAPK14,0.168
PABPC4,0.100
CDC7,0.989
HMOX1,0.303
CCT5,0.894
MCM5,0.801
RAE1,0.293
EIF4ENIF1,0.270
CDCA5,0.426
SYNCRIP,0.174
MAEA,0.291
NUP43,0.676
RCN2,0.206
MAPK3,0.119
ORC2,0.811
DLST,0.175
SS18,0.141
CACYBP,0.313
PDS5B,0.134
ODF2L,0.203
LSM5,0.400
NAP1L1,0.209
ZNF593,0.191
STAG2,0.236
DHFR,0.232
TBC1D7,0.176
BUD23,0.489
RPA3,0.564
MTHFD2,0.390
CSNK1D,0.230
METTL5,0.225
SMN1,0.174
FAF1,0.114
LIG1,0.231
EML4,0.121
MORF4L1,0.115
TUBGCP2,0.902
NDUFS1,0.124
CENPM,0.105
XRCC6,0.151
KATNA1,0.486
POLR2F,0.102
EYA3,0.227
CDC25B,0.960
PLRG1,0.186
CEP70,0.304
LZTS2,0.931
EXOSC1,0.491
SEC13,0.133
CCDC25,0.163
RPL3,0.112
PKN2,0.493
CEP76,0.998
BTRC,0.914
SMYD2,0.146
CENPH,0.378
NUBP2,0.440
CBX3,0.152
MYH9,0.103
RBM14,0.227
BTBD10,0.108
SUMO1,0.305
NUF2,0.843
TAMM41,0.143
BRD8,0.173
HNRNPLL,0.282
GEMIN6,0.184
SUPV3L1,0.103
CBX1,0.201
JMJD6,0.139
PTCD3,0.100
TSEN2,0.172
RNF20,0.109
MCM7,0.501
PDIA6,0.103
BZW1,0.145
STAG3,0.114
HUS1,0.353
MTX2,0.230
DONSON,0.146
MRPL39,0.105
POLR2H,0.276
RCC1,0.171
H2AZ2,0.680
THUMPD3,0.127
OLA1,0.311
PPP4R2,0.260
NONO,0.244
RBBP4,0.120
SPICE1,0.983
KIF15,0.330
KDM3A,0.120
MAD1L1,1.000
THOC5,0.218
WDR43,0.830
RAD18,0.813
NCAPH,0.895
WDR82,0.186
GET4,0.204
IFT80,0.610
LYRM4,0.138
PWP2,0.182
RALA,0.166
ORC4,0.292
REV1,0.107
FIGNL1,0.474
TMEM209,0.112
PPP1CB,0.159
CDC25A,0.702
ARL4A,0.125
ABCB8,0.107
DYNC1LI1,0.197
APAF1,0.102
SNAP29,0.193
TEDC1,0.138
ARPC1B,0.136
SUV39H2,0.343
RBM28,0.473
NCL,0.194
LSM8,0.505
PSMA2,0.207
CDCA7L,0.170
MCM2,0.871
TADA3,0.107
YBX1,0.162
CMSS1,0.187
ATIC,0.199
TNPO3,0.121
RNF8,0.100
DKC1,0.121
DNAJC2,0.209
USP1,0.464
TFDP2,0.232
NMD3,0.147
MCM10,0.437
ANLN,0.798
U2SURP,0.253
RINT1,0.219
RFC4,0.575
ECT2,1.000
ARF4,0.103
STAMBP,0.179
CLASP1,0.301
CKAP2,0.599
SRPK2,0.178
HSPD1,0.259
RFC5,0.526
POLR1B,0.251
GATAD2A,0.181
AAMP,0.245
TRIM59,0.153
ROCK2,0.356
CCNE1,0.951
RPS27L,0.194
NIFK,0.593
STAG1,0.141
COPS3,0.133
BUD31,0.168
LNPK,0.116
XPO1,0.763
BRD9,0.108
TBCCD1,0.102
ACTR8,0.182
RANBP1,0.691
ATG16L1,0.142
SMC4,0.608
VDAC1,0.129
ARPC2,0.363
WDHD1,0.939
HNRNPAB,0.153
SDAD1,0.654
MAPK9,0.181
PPP2CB,0.107
HDAC2,0.123
DCTN4,0.178
RAD21,0.441
TIA1,0.160
CCNB1,0.951
POP7,0.139
PBK,0.893
PPWD1,0.316
HNRNPD,0.447
WASHC5,0.122
EME1,0.531
NUP155,0.209
CCNC,0.323
DCTN6,0.364
SUB1,0.154
CPOX,0.221
LARP7,0.617
SPIRE1,0.134
RAD17,0.391
ATP5MF,0.128
NUDCD2,0.117
HMCES,0.201
GINS4,0.440
HINT1,0.401
SUPT4H1,0.195
SNX14,0.108
SOS1,0.122
NME1,0.421
TAPT1,0.235
POLB,0.266
MTREX,0.139
TRMT10A,0.303
C4orf46,0.132
SLC35G1,0.116
BTF3,0.103
EXOSC9,0.501
SLF1,0.126
LIN54,0.291
DGCR8,0.302
CETN3,0.804
METAP1,0.208
TMA16,0.410
NSD2,0.512
LRRCC1,0.118
SPC25,0.189
EEF1E1,0.449
ZBTB49,0.320
SNRPG,0.179
CCNT2,0.113
HIPK1,0.144
NHP2,0.545
RPS23,0.275
NCAPG,0.794
ACP1,0.102
CANX,0.105
PSMD14,0.151
PIK3R4,0.133
HELQ,0.242
CEP170,0.104
SGO2,0.219
HNRNPH1,0.118
MOB1B,0.129
RRP1,0.156
IPO11,0.125
PHB1,0.116
RAD1,0.647
SETD3,0.113
XPO5,0.119
ESCO2,0.363
HJURP,0.175
RIOK2,0.112
CENPU,0.329
SRPK1,0.482
ACTL6A,0.458
COPS5,0.226
CENPK,0.193
LYAR,0.344
RPL35A,0.147
SPDL1,0.538
UNC119,0.236
ETFDH,0.125
RSRC2,0.101
KLHL7,0.107
KIF2A,0.998
FBXW11,0.991
RPS3A,0.109
SMAD5,0.114
ARPC3,0.102
THOC3,0.526
GMNN,0.710
KAT7,0.102
PAICS,0.151
XRCC5,0.302
ABCE1,0.185
TBC1D31,0.744
INTS9,0.155
KIF20A,0.709
TTK,0.968
CEP44,0.140
POC5,0.494
WDR55,0.384
RACK1,0.531
HMGB2,0.866
MAD2L1,0.945
DDX20,0.120
CHRAC1,0.194
HMMR,0.857
SSR2,0.132
EZH2,0.478
DIS3L,0.117
MYBL1,0.112
NCAPD2,0.601
RPL8,0.313
TDP1,0.266
IST1,0.119
ARPC1A,0.374
CCDC15,0.923
MRPL16,0.134
ALYREF,0.540
PPP2CA,0.214
RBM22,0.388
DHX36,0.269
PPP1CA,0.121
ARMC1,0.255
PRELID3B,0.127
CDK2,0.814
EDRF1,0.107
EZR,0.110
CFL1,0.214
NFRKB,0.104
RPS25,0.120
POLR3H,0.294
SKP1,0.242
DDX55,0.118
DYNC1I2,0.172
RRM1,0.207
RHOC,0.109
PPP2R1B,0.178
POLR2D,0.211
CEP295,0.253
MRPL22,0.142
EXOSC4,0.131
HMGB3,0.261
RASA1,0.304
EIF1AD,0.111
PARP2,0.193
TUBGCP6,0.158
TCP1,0.719
G3BP1,0.165
INTS4,0.151
SSB,0.694
BANF1,0.463
PLAA,0.122
POLR1E,0.115
POP1,0.107
ALG8,0.273
CCNE2,0.708
RUVBL1,0.253
RPL14,0.112
DTNB,0.105
CLNS1A,0.120
DERA,0.197
PRKRIP1,0.140
PSMC3,0.108
NPM1,0.903
G6PD,0.375
KNTC1,0.779
POLD3,0.561
CDCA2,0.175
MAST2,0.240
PPIE,0.136
SLBP,0.208
TRAIP,0.402
RAD51,0.761
NOP14,0.197
MYH10,0.420
RBM4B,0.104
CLSPN,0.135
POLR2K,0.109
TBRG1,0.104
USP33,0.187
HDAC3,0.460
NDUFV2,0.131
RPS20,0.110
OXCT1,0.100
VRK2,0.326
RARS1,0.170
UBXN2B,0.149
DPF2,0.199
TOP2B,0.127
RAD54B,0.109
MED7,0.138
POLA2,0.542
GTF2E2,0.117
CSTF3,0.494
ANP32E,0.325
PINX1,0.598
ACADS,0.146
WRAP53,0.344
EXO1,0.651
NASP,0.379
XPO4,0.127
E2F7,0.149
CKAP5,0.828
MARS1,0.336
NEDD8,0.122
CDC27,0.717
RBM25,0.311
YEATS4,0.104
PIP4K2C,0.143
POC1B,0.729
TSG101,0.415
DYNLL1,0.213
NDUFA12,0.120
XRCC1,0.293
INTS13,0.136
POLR2J,0.148
STRAP,0.265
CENPJ,0.850
FEN1,0.521
NOC4L,0.130
DHX37,0.121
RBL1,0.330
WDR83,0.112
UNG,0.308
RRP8,0.156
CEP57,0.469
JPT1,0.157
NUP37,0.517
CBX5,0.379
AAAS,0.932
CDK19,0.167
REXO2,0.327
ABCF1,0.109
STIP1,0.189
EIF2B1,0.107
PA2G4,0.370
CHMP1A,0.123
RACGAP1,0.551
NUP107,0.897
WEE1,0.838
FKBP4,0.694
CCT2,0.998
ECPAS,0.372
WDR74,0.219
MRE11,0.431
FRMD8,0.162
DDX23,0.154
ESRRA,0.144
NEK2,0.970
MCRS1,0.152
METTL1,0.136
NSFL1C,0.664
RECQL,0.563
DNA2,0.494
UTP18,0.700
WBP11,0.167
NFYB,0.154
KANSL2,0.128
WDR90,0.291
PYM1,0.150
PAN2,0.123
RPN2,0.179
NUP85,0.888
FAM76B,0.184
CDK4,0.737
PRPF19,0.523
SPAG5,0.420
NAA40,0.307
USP5,0.116
TFCP2,0.160
SMARCD1,0.167
ACTR6,0.436
RAD51AP1,0.573
TUBA1B,0.220
SARNP,0.194
TFDP1,0.795
SKA3,0.405
ELP2,0.215
NCBP1,0.209
DTL,0.990
DIS3,0.226
DDX47,0.129
RPL35,0.438
RRN3,0.200
SINHCAF,0.109
NOP2,0.643
CIT,0.765
ZW10,0.408
UBE2N,0.449
YLPM1,0.150
ZCRB1,0.149
WDR75,0.737
NEDD1,0.944
H2AJ,0.103
SHMT2,0.427
NIT2,0.122
ZPR1,0.101
PSMA7,0.134
MTBP,0.167
TRA2A,0.336
DDX56,0.180
PFAS,0.247
CENPA,0.233
SMARCC1,0.663
DBR1,0.187
ZNF207,0.234
BRWD1,0.225
PDSS1,0.114
PPID,0.295
YEATS2,0.257
TAF1B,0.198
FANCI,0.284
XRCC3,0.197
KIF2C,0.523
PRC1,0.947
TCF19,0.158
GNL2,0.175
TMX1,0.188
EIF2S1,0.156
HCK,0.179
TRMT5,0.158
PNO1,0.293
ALKBH1,0.169
MAK16,0.467
SMC1A,0.564
AGGF1,0.119
ERH,0.163
CEP55,0.521
STK10,0.101
CCNF,0.696
CEP128,0.998
NEMP1,0.175
FCF1,0.243
SCRIB,0.198
NEMF,0.132
SFPQ,0.111
LRR1,0.492
WDR89,0.264
CCND2,0.140
NUP58,0.206
NOP58,0.556
RTRAF,0.177
L3MBTL2,0.284
CPSF2,0.108
DEF6,0.156
ORC5,0.317
ZC3H15,0.227
DTYMK,0.423
GNAI2,0.223
HAT1,0.644
UBR7,0.177
UBQLN1,0.238
WDR46,0.128
UCHL5,0.166
SGO1,0.795
DLGAP5,0.288
PAXIP1,0.427
PSMA3,0.109
PLEK2,0.211
PPP4R3A,0.352
CCDC86,0.106
CENPC,0.115
LATS1,0.127
CNOT9,0.587
BYSL,0.389
METTL2B,0.237
DAAM1,0.123
MAP2K2,0.169
TCERG1,0.102
KPNA3,0.167
LUC7L2,0.153
CKAP2L,0.538
SUPT16H,0.310
PDAP1,0.290
RAD23B,0.133
PNN,0.117
FANCD2,0.496
TRIP13,0.585
NCAPG2,0.369
PRPF4B,0.272
HAUS4,0.404
PDS5A,0.226
CDC14B,0.176
NSUN5,0.418
MZT2A,0.126
YARS2,0.335
USP10,0.172
UTP25,0.288
XPO6,0.250
NSMCE1,0.105
NOL10,0.251
NOP10,0.251
CIR1,0.132
KARS1,0.111
HNRNPA3,0.116
HIRA,0.305
DYNC2I1,0.211
COQ7,0.117
SIN3A,0.110
PALB2,0.175
CTDSPL2,0.368
KIF22,0.631
NDC80,0.939
REXO5,0.300
CCT8,0.701
ORC6,0.115
DOLPP1,0.118
SRSF9,0.676
CLK3,0.108
DUSP7,0.216
NUTF2,0.172
CFAP20,0.495
PPP4C,0.599
LANCL2,0.166
CENPN,0.104
EXOSC8,0.156
RIF1,0.210
RPL13,0.559
DHX33,0.132
CEP85,0.997
CDT1,0.524
TBCD,0.251
PRPF8,0.144
PCNT,0.982
RCOR1,0.147
IFT140,0.116
DCTN5,0.116
SAP18,0.333
ZWILCH,0.113
OIP5,0.408
HACD3,0.169
PCLAF,0.220
TRIP4,0.277
ABCB6,0.301
CNTROB,0.102
KATNB1,0.458
ARHGAP11A,0.135
MAP2K1,0.142
ESPL1,0.215
E2F4,0.162
KNSTRN,0.244
TIPIN,0.621
KATNBL1,0.215
DDX18,0.278
CCNB2,0.938
TRA2B,0.431
GTF3C1,0.134
NUDT21,0.386
MPHOSPH6,0.273
RSL24D1,0.293
PSMA4,0.126
NUSAP1,0.512
UTP4,0.362
HSBP1,0.114
HAUS2,0.199
RTF1,0.114
ZFYVE19,0.465
TFAM,0.172
TUBGCP4,0.330
CIAO2B,0.352
RAB8B,0.103
EBNA1BP2,0.212
NUP93,0.401
RBM45,0.347
AHCTF1,0.126
ETFA,0.113
RNPS1,0.426
ARL2BP,0.142
RBM19,0.261
VRK1,0.896
BUB1B,0.854
SKIC8,0.170
C1D,0.131
FZR1,0.237
EIF5A,0.253
NOP53,0.119
PAFAH1B2,0.267
UBA2,0.386
LSM4,0.105
SHCBP1,0.787
NOL11,0.184
PIH1D1,0.181
RSL1D1,0.211
HOOK2,0.103
U2AF2,0.194
CRK,0.219
SRM,0.118
MARK4,0.181
SRSF1,0.160
MBD2,0.113
KEAP1,0.101
PTDSS1,0.975
MTMR4,0.198
POLI,0.142
NUP62,0.462
ZBTB14,0.286
H3-3B,0.119
RFWD3,0.431
SUZ12,0.433
PSMC5,0.103
EXOSC10,0.152
CACTIN,0.160
DAZAP1,0.478
NUP88,0.175
MLX,0.404
BUB3,0.246
HAUS1,0.336
VMP1,0.119
FTSJ3,0.264
TSR1,0.241
PTRH2,0.113
NUBP1,0.306
TOP2A,0.884
PLK1,1.000
NIP7,0.108
GRWD1,0.497
EIF4A3,0.168
CEP131,0.676
ASF1B,0.713
POLR2I,0.178
SKA1,0.419
EIF3G,0.318
SRSF2,0.186
DNMT1,0.513
DNAJA3,0.123
PRKACA,0.171
SNRPD1,0.302
KPNA2,0.450
GLYR1,0.110
MAP2K4,0.156
PAFAH1B1,0.613
RPL26,0.292
CDC6,0.925
EIF4A1,0.295
BRD7,0.124
GTF2F1,0.235
RPL38,0.205
HAUS5,0.538
PIMREG,0.304
RPA1,0.460
MYBBP1A,0.158
TUBG1,0.708
RNF126,0.108
RPL27,0.122
PSMC3IP,0.184
CHAF1A,0.111
TUBD1,0.119
NDE1,0.867
SRP68,0.284
PARK7,0.154
YIF1B,0.101
UTP6,0.278
VPS4B,0.211
AURKB,0.986
RPS16,0.105
GRB2,0.220
MIS12,0.109
PDCD5,0.125
SRSF10,0.268
SURF6,0.271
RPS11,0.390
XRCC2,0.544
HRAS,0.171
PSIP1,0.134
RP2,0.183
KIF3B,0.136
MAP3K7,0.247
KIF4A,0.901
PRPF4,0.431
CIAO1,0.158
EXOSC5,0.118
NRAS,0.137
GINS2,0.483
NFKB2,0.208
EDF1,0.136
HAUS8,0.346
SMARCA5,0.454
SUV39H1,0.594
TYMS,0.693
PPM1G,0.269
DHX15,0.640
UQCRQ,0.151
HPRT1,0.233
MTA2,0.134
MPHOSPH10,0.323
UTP20,0.129
BCAS2,0.500
MDN1,0.123
CD2BP2,0.110
RRP9,0.184
SLC25A5,0.342
SCAF4,0.158
PRPF3,0.153
ATP5PB,0.118
MAGOH,0.401
WDR5,0.209
WDR4,0.336
ATP5MC3,0.168
TBPL1,0.101
H1-5,0.186
UBA1,0.130
PDHA1,0.132
CAPZA1,0.141
CEBPG,0.140
CKS1B,0.422
GMPS,0.108
MAPK1,0.388
EIF1AX,0.145
RPS8,0.300
PSMB4,0.180
HSP90AB1,0.163
RPA2,0.324
CCNA2,0.748
TOP1,0.275
ROMO1,0.141
SLC16A1,0.121
CSE1L,0.239
KIF5B,0.169
POLE2,0.705
EIF2S2,0.364
DAP3,0.117
H2AX,0.844
CKS2,0.332
TXN,0.122
RAB10,0.114
NDUFA8,0.148
PSMA5,0.168
NFYA,0.150
RPIA,0.153
TIMM10,0.198
PCNA,0.921
MFAP1,0.138
PARP1,0.268
MRPL12,0.161
ARF6,0.199
CCT4,0.635
CRKL,0.362
KIF11,0.813
TUBB,0.478
SFN,0.425
TPR,0.449
SEPHS1,0.223
RPL12,0.125
MAPKAPK2,0.150
MYBL2,0.649
MKI67,0.776
PRKAR2B,0.627
RAB8A,0.287
LSM3,0.258
LSM6,0.120
GTF2F2,0.247
CCT6A,0.997
HMGB1,0.387
PPP4R3B,0.317
GALE,0.118
GABPA,0.169
HDAC1,0.354
RAC1,0.124
MAPRE1,0.316
NFX1,0.281
SPOUT1,0.295
SF3A3,0.416
DR1,0.118
PUM3,0.168
RPP30,0.146
GTPBP4,0.367
NET1,0.156
MCM6,0.676
MAPK6,0.113
CDCA8,0.362
MRPS18A,0.175
KIF14,0.274
MAD2L1BP,0.130
H1-1,0.117
SF3B4,0.403
CCNA1,0.329
DYNLT1,0.123
SMU1,0.165
POLH,0.748
TAF5,0.668
TUBB4B,0.232
ORC1,0.465
TAF12,0.158
E2F2,0.298
PLOD1,0.776
KHDRBS1,0.177
NUP188,0.103
POLR2L,0.185
LMNB2,0.210
RBBP5,0.233
DCAF12,0.288
BMS1,0.766
MRPS21,0.109
DNAJC3,0.143
RRP1B,0.324
GINS1,0.429
CHAF1B,0.807
RPS26,0.192
RBX1,0.150
CENPI,0.782
DSN1,0.833
RRS1,0.415
PDK3,0.290
TOMM20,0.101
E2F1,0.617
RBM10,0.118
CSNK2B,0.480
TTLL12,0.566
GLE1,0.298
CDK6,0.178
HAUS6,0.220
KRR1,0.101
DHX9,0.656
CDC20,0.965
EIF3A,0.479
MLLT1,0.104
UAP1,0.269
EIF3I,0.155
EXOSC7,0.352
KIF4B,0.859
POGLUT2,0.105
TMEM183A,0.106
THOC6,0.390
CEP135,0.999
FAHD1,0.100
HROB,0.108
CENPQ,0.147
MIB1,0.982
PHF5A,0.423
ASPM,0.847
WDR3,0.336
SASS6,1.000
SMC5,0.172
NANS,0.129
ZCCHC9,0.138
NFXL1,0.148
UTP14C,0.153
MMGT1,0.155
SRBD1,0.184
SAPCD2,0.206
MIER1,0.171
CENPL,0.220
ANKRD13C,0.166
RPF2,0.288
HASPIN,0.294
NANP,0.258
RANBP9,0.124
PHIP,0.101
ZMAT2,0.101
KIAA1143,0.165
POC1A,0.741
LEO1,0.391
PHF10,0.142
MFSD14A,0.191
NUP205,0.313
DDX51,0.102
NOC3L,0.298
CDC5L,0.344
PELI1,0.123
MNS1,0.188
SERBP1,0.102
STT3B,0.158
ZNF622,0.236
BRIX1,0.400
BICD2,0.113
GMCL1,0.154
POP5,0.105
MRPS31,0.139
RRP36,0.114
ANP32B,0.690
TFB1M,0.136
KIF18A,0.712
DNAJC9,0.710
SNRNP40,0.521
UBLCP1,0.402
SDF2L1,0.166
HPF1,0.260
POLE4,0.116
MINPP1,0.184
APEX2,0.151
FBXO5,0.461
POLE3,0.224
GTSE1,0.340
TTF2,0.356
WDR12,0.698
PITHD1,0.108
BCCIP,0.859
MRPL40,0.316
DIAPH3,0.446
MRTO4,0.511
TPX2,0.383
LRRC40,0.429
DPY30,0.131
PHAX,0.212
CDCA4,0.173
GPATCH2,0.134
BAZ1B,0.103
RAB23,0.238
TAOK2,0.263
BEX4,0.110
UTP14A,0.308
SGPP1,0.304
IPPK,0.113
SF3B5,0.208
NUFIP1,0.174
RAB21,0.532
UTP3,0.210
TRMT6,0.201
ACAT2,0.273
ISG20L2,0.411
NXT1,0.301
PELO,0.115
TUBB2B,0.125
NUCKS1,0.161
PIF1,0.318
IMP3,0.143
NSMCE4A,0.119
LATS2,0.187
DDX21,0.181
MCMBP,0.412
MIS18A,0.245
DPH7,0.249
AUNIP,0.324
UXT,0.377
COMMD8,0.138
RCC2,0.669
RIOX1,0.452
ACOT13,0.142
MKKS,0.132
NDC1,0.265
MCM8,0.469
ACTR5,0.182
UBQLN4,0.119
MOB1A,0.243
SMC3,0.628
DSCC1,0.308
GAR1,0.183
TMEM14C,0.118
PAK1IP1,0.485
TIMELESS,0.797
ABITRAM,0.141
RRAGD,0.128
RPF1,0.110
GINS3,0.283
DUSP23,0.599
NDOR1,0.114
EXOSC3,0.460
GNL3L,0.172
PPIL1,0.316
NOC2L,0.145
KLHL20,0.117
CLIC4,0.434
YTHDF2,0.345
LSM2,0.152
UTP11,0.509
DCAF1,0.104
MAGED1,0.238
